Formula,Original database,Space group,PBE bandgap,HSE06 bandgap,asr_id/material_id
Ag(AuS)2,2dmatpedia,P c,0.0,,2dm-5282
ZrBrO,2dmatpedia,P -3 m 1,0.0,,2dm-5322
CeSiI,2dmatpedia,P -3 m 1,0.0,,2dm-5325
ZrGeTe,2dmatpedia,P 4/n m m,0.0,,2dm-5375
NaW2(Br3O)2,2dmatpedia,P 2/m,0.0,,2dm-5378
Sr2CoCu2O7,2dmatpedia,P m c 21,0.0,,2dm-5431
Nb9IrSe20,2dmatpedia,P -1,0.0,,2dm-5432
CeZnPO,2dmatpedia,P -3 m 1,0.0,,2dm-5580
Nb4IrSe10,2dmatpedia,P -1,0.0,,2dm-5716
AlH4(SeO4)2,2dmatpedia,P 21/c,0.0,,2dm-5790
CuSi2P3,2dmatpedia,P m,0.0,,2dm-5831
LiCuPO4,2dmatpedia,P -4 21 m,0.0,,2dm-5846
ZrHCl,2dmatpedia,P -3 m 1,0.0,,2dm-5857
Cu2H2CO5,2dmatpedia,P 21/c,0.0,,2dm-5887
N2,2dmatpedia,P m n a,0.0,,2dm-5958
N2,2dmatpedia,P 21/m,0.0,,2dm-5985
KC12,2dmatpedia,P 6/m m m,0.0,,2dm-6025
NaC12,2dmatpedia,P 6/m m m,0.0,,2dm-6027
NiBi2,2dmatpedia,P 3 1 m,0.0,,2dm-6155
RbC12,2dmatpedia,P 6/m m m,0.0,,2dm-6224
NiN2,2dmatpedia,P m m m,0.0,,2dm-6240
NbS2,2dmatpedia,P -1,0.0,,2dm-364
NbS3,2dmatpedia,P 21/m,0.0,,2dm-1482
TaSe3,c2db,P m m n,0.0,,f9ab1865cb8c2d69108e2673a3905f12
PtSe3,c2db,P 21/m,0.0,,b97b884bdf982e7fd35b81029408519f
CoSe,c2db,P -3 m 1,0.0,,17ef6bf46fb679f216b9a30eb1fb08fa
AlSe2,c2db,C 2/m,0.0,,82f4b5399be7f7f314018e0c3f848114
Zr3Se2,2dmatpedia,P 4/m m m,0.0,,2dm-1009
Hf3Se2,2dmatpedia,P 4/m m m,0.0,,2dm-1704
TaTe3,c2db,P m m n,0.0,,4a5a67a9569fe33cdf0ea1a31b072b90
CoTe,c2db,P -3 m 1,0.0,,043e7be1d7027ed2299bd51bc1e9c63f
TaTe3,2dmatpedia,P -1,0.0,,2dm-800
CuTe2,2dmatpedia,P -4 m 2,0.0,,2dm-2299
CaCl,c2db,P 4/n m m,0.0,,521fe8b7710926d729a7a3e42e377936
VCl3,c2db,P -3 1 m,0.0,0.026779141235950377,8e5cf44cfd10e88f3026d02766ea6b42
NdCl2,2dmatpedia,P 4/m m m,0.0,,2dm-796
AgCl2,2dmatpedia,P 21/c,0.0,,2dm-1095
Bi9Cl2,2dmatpedia,P 21/m,0.0,,2dm-1455
Bi4Cl,2dmatpedia,P 2/m,0.0,,2dm-1487
Sb4Br,2dmatpedia,P 2/m,0.0,,2dm-172
HfBr3,2dmatpedia,P -3 1 m,0.0,,2dm-6422
CuBr2,2dmatpedia,C 2/m,0.0,,2dm-3750
InI2,c2db,P -6 m 2,0.0,,73f0be4073471ad53bb0062a85fea845
RhI2,c2db,P -3 m 1,0.0,,1f1223669a0304da63f27a56fddf12a4
NbSe3,2dmatpedia,P -1,0.0,,2dm-1518
NbTe3,2dmatpedia,P -1,0.0,,2dm-1869
YTe,2dmatpedia,P 4/n m m,0.0,,2dm-2422
